culture	문화,교양
bar	막대기
ostrich	타조
knee	무릎
cricket	크리켓 경기
deck	갑판
bit	작은 조각, 조금
silk	비단
jeans	청바지
cotton	솜, 면
drum	북
sand	모래
shock	충격, 충격을 주다
march	행진, 행진하다
cage	새장, 우리
whole	전부
change	변화, 잔돈
department	부문, 부서
office	사무실
ticket	표, 입장권
energy	힘, 활기
idea	생각, 이념
hospital	병원
noise	소음
sample	견본
example	예, 보기
lesson	학과, 교훈
plenty	풍부, 많은
luck	행운
comedy	희극, 코미디
health	건강
history	역사
forest	숲
stream	흐름, 개울
future	미래
state	상태, 국가, 말하다
temple	절, 사원
dictionary	사전
grammar	문법
college	단과대학, 전문대학
husband	남편
daughter	딸
captain	우두머리, 선장
booth	오두막집, 작은 방
iceberg	빙산
bubble	거품
bottom	밑, 밑바닥
prize	상, 상품
bean	콩
race	경주, 인종
engineer	기사, 공학자
photographer	사진사
reason	이성, 이유
subway	지하도, 지하철
fog	안개
answer	대답, 대답하다
dinning room	식당
step	걸음, 단계, 조치
heat	열, 더위
bone	뼈
plant	식물, 심다, 공장
lamb	새끼양
rate	비율, 평가하다
report	보고, 보고하다
tuttle	바다거북
bay	만
holiday	휴일, 휴가
center	중심지
cash	현금, 현금으로 바꾸다
wolf	늑대
operator	교환수, 조작자
fur	모피
shore	물가, 바닷가
owl	올빼미
hunter	사냥군
pumpkin	호박
handshake	악수
bike	자전거
beach	해안
god	신
cough	기침, 기침을 하다
shell	조개
business	사업, 일
restaurant	식당
sheep	양
officer	장교, 공무원
hometown	고향
coil	코일, 감긴 것
ceiling	천장
turkey	칠면조
towel	수건, 타월
matter	문제, 중요하다
chopstick	젓가락
seat	좌석, 앉히다
board	판자, 탑승
goal	목표, 골
drugstore	약국
rat	쥐, 들쥐
butterfly	나비
flute	플룻, 피리
couple	한쌍, 커플
beer	맥주
background	배경
bottle	병
body	몸, 신체
group	집단
village	마을
beef	쇠고기
load	짐, 부담
coin	동전
bookstore	서점
label	꼬리표, 상표
port	항구
quarter	4분의 1, 15분
sunrise	해돋이
sunshine	햇빛
wedding	결혼, 결혼식
crown	왕관
seed	씨, 씨 뿌리다
coal	석탄
comb	빗, 빗질하다
dream	꿈
sugar	설탕
mile	마일
flashlight	회중전등, 카메라의 플래시
vegetable	야채
mouse	생쥐
wood	나무, 숲
war	전쟁
ground	땅, 운동장
belt	띠, 허리띠
tourist	여행자
airport	공항
passport	여권
plate	접시
stone	돌
downtown	번화가
cousin	사촌
tooth	이
potato	감자
blanket	담요
creek	시냇물
nail	손톱, 못
letter	편지, 글자
date	날짜
store	가게, 저장하다
beggar	거지
bedside	침대곁
deer	사슴
bill	계산서, 지폐, 법안
doll	인형
pepper	후추
frog	개구리
rest	휴식, 나머지
tower	탑
bridge	다리
cloth	천, 직물
post	우편, 우편물
snake	뱀
job	직업, 일
town	마을
fun	재미
bathroom	욕실
tail	꼬리
mayor	시장
piece	한 조각
fruit	과일
british	영국인, 영국의
french	프랑스사람, 프랑스어
German	독일사람, 독일어
sale	판매, 염가판매
rope	밧줄
umbrella	우산
dollar	달러
mistake	잘못, 잘못알다
birth	출생
pilot	조종사
none	아무도 ~않다
front	정면, 앞부분
present	현재, 선물, 주다
nickname	별명, 애칭
pair	한 쌍
weather	날씨
dish	접시, 요리
hole	구멍
plane	비행기
living room	거실
gun	총
meat	고기
cover	덮개, 덮다
grass	풀, 잔디
watch	손목시계, 지켜보다
word	단어
explain	설명하다
wear	입다, 닳다
amuse	재미있게 하다
suppose	상상하다, 가정하다
leap	뛰다
bury	파묻다
engage	고용하다, 약속하다
sow	씨를 뿌리다
lift	들어올리다
bow	절하다, 활
rub	문지르다
bite	물다, 물어뜯다
vote	투표하다, 투표
hop	한 발로 깡총 뛰다
imagine	상상하다
allow	허락하다
offer	제공하다
gain	얻다
alarm	놀라게하다, 경보하다
obey	복종하다
steal	훔치다
dig	파다
choose	고르다, 선택하다
receive	받다
bet	내기걸다, 단언하다
hurt	상처를 입히다
burn	타다, 태우다
sink	가라앉다
decide	결심하다, 결정하다
beg	구걸하다, 청하다
reply	대답, 대답하다
tear	찢다, 눈물
flow	흐르다
remember	기억하다
appear	나타나다, ~으로 보이다
breathe	숨쉬다, 호흡하다
whistle	휘파람을 불다
draw	당기다, 그리다
sound	소리가 나다, 소리
save	구하다, 저축하다
continue	계속하다
check	방해하다, 대조하다, 수표
sail	항해하다
wake	깨우다
agree	동의하다
hang	걸다, 매달다
record	기록
drop	떨어지다, 물방울
climb	오르다
add	더하다
shine	빛나다
invite	초대하다
join	결합하다, 참가하다
hide	감추다, 숨다
bring	가져오다
wink	눈을 깜박거리다, 눈짓하다
shoot	쏘다, 사격하다
roll	구르다, 두루마기
pull	잡아당기다, 끌다
push	밀다
guess	추측하다
belong	~에 속하다
happen	발생하다
pick	고르다, 줍다
shake	떨다, 흔들다
fill	채우다
fail	실패하다
fight	싸우다
fear	두려워하다
carry	나르다, 운반하다
dive	다이빙하다, 잠수하다
win	이기다, 얻다
ride	(탈 것에)타다
turn	돌다, 변화하다
need	필요로 하다
build	짓다, 건축하다
hurry	서두르다
return	되돌아가다, 돌려주다
believe	믿다
surprise	놀라다
gather	모으다
throw	던지다
raise	들어 올리다
count	세다, 계산하다
smell	냄새, 냄새맡다
spend	쓰다, 소비하다
pitch	던지다
pop	평하고 소리나다, 대중음악
blow	불다
miss	놓치다, 그리워하다
excuse	용서하다, 변명
hit	치다
tie	매다, 묶다, 동점
touch	닿다, 감동시키다
stay	머무르다
enjoy	즐기다
lose	잃다, 지다
close	닫다, 가까운
arrive	도착하다
travel	여행자
reach	도달하다
hold	붙잡다, 개최하다
worry	걱정하다
marry	결혼하다
expect	기대하다
understand	이해하다
become	~이 되다, 어울리다
break	부수다, 깨뜨리다
smoke	연기, 담배피다
lend	빌려주다
shut	닫다
lay	~을 놓다, 눕히다
lead	이끌다, 인도하다
pass	기나가다, 합격하다
hand	손, 건네주다
ancient	고대의
nuclear	핵의
necessary	필요한
common	공통의, 보통의
inner	안쪽의
thirsty	목마른
thin	얇은, 야윈
gray	회색
famous	유명한
industrial	산업의, 공업의
silent	조용한, 침묵의
absent	결석한
flat	평평한
main	주요한
wild	야생의, 난폭한
wet	젖은
blind	눈먼
dumb	벙어리의
sharp	날카로운
terrible	끔직한, 무서운
grand	웅장한, 광대한
homesick	향수병의
fat	살찐, 지방
strange	이상한, 낯선
pleasant	기분좋은, 유쾌한
handsome	잘생긴, 멋진
equal	같은, 동등한
dear	친애하는, 값비싼
sweet	달콤한
dull	무딘, 우둔한
weak	약한
bright	밝은, 영리한
honest	정직한
elder	손위의, 연상의
such	그러한, 이러한
able	할 수 있는
loud	목소리가 큰, 시끄러운
simple	간단한, 단순한
clever	영리한
proud	자랑스러운
foolish	어리석은
possible	가능한
enough	충분한
wise	현명한
wide	넓은
successful	성공한
clear	맑은, 명백한, 깨끗이치우다
clean	깨끗한
deep	깊은, 깊게
own	자기자신의, 소유하다
cheap	값싼
certain	확실한, 어떤
important	중요한
stormy	폭풍의
true	진실한
sad	슬픈
gay	명랑한, 화려한
merry	즐거운
colorful	화려한
wonderful	놀랄만한, 훌륭한
peaceful	평화로운
angry	화난
dry	마른
wrong	나쁜, 틀린
heavy	무거운
quiet	조용한
several	여럿의, 몇몇의
alone	홀로, 혼자서
crowded	붐비는, 혼잡한
excited	흥분한
alive	살아있는
brown	갈색
different	다른
difficult	어려운
interesting	재미있는
unlike	같지 않은
least	최소한의, 가장 적은
afraid	무서워하여
cool	서늘한, 근사한
pretty	예쁜, 상당히
kind	친절한, 종류
sick	병든, 싫증난
useless	쓸모 없는
busy	바쁜
early	일찍
past	과거의, ~을 지나서
dark	어두운
cloudy	구름이 낀
short	짧은, 부족한
low	낮은, 낮게
sincerely	성실히
fortunately	운좋게, 다행히
finally	마침내, 최후로
immediately	곧, 즉시
especially	특별히
else	그 밖에
actually	실제로
hardly	거의~하지 않다
otherwise	그렇지 않으면
tightly	단단히
recently	최근의(= lately)
rapidly	빨리, 신속히
however	그러나, 아무리~해도
politely	공손히, 예의바르게
rudely	무례하게
further	더욱이, 그 이상의
frankly	솔직히
properly	적당히, 올바르게
haste	성급한, 서두름
rather	오히려, 얼마간
together	함께
altogether	아주, 전부
suddenly	갑자기
mostly	대개는
correctly	바르게, 정확히
ahead	앞으로, 앞에
instead	대신에
quite	꽤, 완전히
nearly	거의
badly	나쁘게, 몹시
almost	거의
exactly	정확히
apart	떨어져서, 따로
afterward	후에, 나중에
later	나중에
maybe	아마
perhaps	아마
probably	아마
either	어느 한쪽의, 또한
neither	어느쪽도 아니다
besides	게다가
anyway	어쨌든
sometime	언젠가
forward	앞으로
since	그 후, 때문에
once	한번, 한때
twice	두 번, 두배
indeed	참으로
seldom	거의~하지 않다
upside down	거꾸로
whether	~인지 아닌지
unless	만약 ~하지 않는다면
though	비록~일지라도
while	~하는 동안
usually	보통, 대개
safely	안전하게
along	~을 따라서
without	~없이
behind	~의 뒤에
beyond	~을 지나서, 초월하여
below	~의 아래에
toward	~쪽으로
