  precise	정확한
  native	타고난, 태어난
  constant	불멸의,끊임없는
  concise	간결한
  moral	도덕적인
  delicate	미묘한,민감한
  ambiguous	애매한
  neutral	중립의
  sacred	신성한
  resolute	결심이굳은
  instructive	유익한
  unanimous	만장일치의
  decent	고상한
  legal	법률의,합법적인
  ancient	고대의
  precious	귀중한
  stern	엄한,엄격한
  education	교육
  prey	먹이,희생
  tumult	소동
  surrender	항복,항복하다
  reputation	평판,명성
  landscape	풍경,경치
  posterity	자선,후세사람
  offspring	자손,소산
  growth	성장, 발전
  orbit	천체의, 궤도
  channel	해협, 경로
  ancestor	선조
  justice	정의, 공정
  theme	주제, 제목
  routine	일상적인일
  protest	항의, 주장
  tendency	경향
  prophecy	예언
  career	경력,생애
  advertisement	광고
  role	역할
  origin	기원, 태생
  process	진행, 과정
  agriculture	농업
  skyscraper	고층건물
  nuisance	방해물
  vote	투표,투표하다
  spur	박차를가하다
  average	평균, 평균의
  category	범주
  doom	운명, 파멸
  utility	유의, 효용
  slavery	노예제도
  antipathy	반감
  caution	조심, 경고
  reaction	반동, 반익
  atmosphere	분위기
  satellite	위성,위성의
  sage	현의, 성인
  excess	초과, 과잉
  architecture	건축, 건축술
  prose	산문(시)
  temperature	온도
  purchase	구입,구입하다
  oracle	신탁
  heir	상속인,후계자
  applause	박수갈채, 칭찬
  anarchy	무정부상태
  scrutiny	면밀한조사,응시
  sculpture	조각
  notion	생각,개념
  diplomacy	외교,외교술
  decade	10년간
  witness	증거, 증인
  thermometer	온도계
  usage	용법, 어법
  institution	제도,협회
  exertion	노력
  feature	특징,용모
  disguise	변장,변장하다
  congress	회의
  germ	세균
  algebra	대수,대수학
  geometry	기하학
  sojourn	체류,묵다
  expedition	탐험대
  definition	정의
  issue	문제,발행하다
  conflict	투쟁
  disaster	재해,불행
  focus	초점
  budget	예산, 예산안
  intercourse	교재
  ceremony	의식, 의례
  regret	후회,후회하다
  enterprise	기억,진취적기상
  ravage	황폐
  tragedy	비극
  miser	구두쇠
  muscle	근육
  unemployment	실업
  arithmetic	산수, 셈
  skill	숙련
  instrument	기구, 수단
  equator	적도
  structure	구조, 건조물
  mode	방법, 양식
  aristocracy	귀족정치
  wage	임금
  zeal	열심
  trial	시도, 시련, 재판
  burden	무거운짐,부담
  tribe	종족
  realm	영지, 왕국
  fright	놀람,공포
  demand	요구,수요
  supply	공급,공급하다
  intelligence	지능,지성
  frame	구조,골격
  hobby	취미
  source	원천,출처
  twilight	황혼,희미한빛
  fever	열
  relief	구제,안심
  refuge	피난, 피난처
  experiment	실험,실험하다
  expense	비용, 희생
  reliance	신뢰
  grief	슬픔
  effect	결과,효과
  scope	범의, 시야
  habit	습관
  defense	방어, 변호
  aviation	비행, 비행술
 navigation	항해,항해술
  resource	자원, 지략
  cruelty	잔인,잔혹
  negligence	태만
  bliss	환희
  delay	연기,지체
  contact	접촉
  poison	독, 독약
  awe	두려움
  nutrition	영향, 영향물
  obligation	의미, 은혜
  reward	보답,상
  peer	귀족, 동료
  controversy	논쟁
  material	물질, 재료
  nationality	국적, 국민성
  majority	대다수
  personality	개성, 성격
  region	지방
  clue	단서,실마리
  parliament	의회
  government	정치, 정부
  oath	맹세, 서약
  revenue	세입
 explanation	설명
  minister	장관, 목사
  obstacle	장애(물)
  majesty	존엄
  globe	지구
  pressure	압력, 압박
  standpoint	입장, 견지
  monument	기념비, 기념물
  opponent	적, 적수
  fiction	소설, 꾸며낸 이야기
  detail	상세, 상세히 말하다
  solution	해결, 용해
  maximum	최대한(의)
  communism	공산주의
  tide	조수, 풍조
  honesty	정직
  brute	짐승
  beast	짐승, 짐승 같은 인간
  inspiration	영감, 고취
  harm	해, 해치다
  taste	맛, 취미
  independence	독립(심)
  engagement	약속, 약혼
  rank	열, 지위, 계급
  glacier	빙하
  prairie	대초원
  cradle	요람, 발상지
  incident	사건
  disillusion	환멸, 환멸을 느끼게 하다
  election	선거
  gesture	몸짓
  warfare	전쟁
  adventure	모험
  resort	놀이터, 수단
  situation	위치, 사태
  emigrant	(다른 나라로의) 이주자
  historian	역사가
  creature	창조물, 생물
  victim	희생(자)
  delight	즐거움, 즐겁게 하다
  decay	부패(하다)
  admiral	해군 대장, 제독
  colony	식민지, 거류지
  philosophy	철학
  treasure	보물
  admiration	감탄, 칭찬
  flesh	살, 육체
  conduct	행위,지도, 행동하다, 인도하다
  aspect	양상, 국면
  anniversary	기념일
  laboratory	실험실, 연구소
  cell	세포
  area	면적, 지역
  symbol	상징, 부호
  assent	동의(하다)
  manuscript	원고
  mechanism	기계(장치), 기구
  scent	향기, 냄새맡다
  donation	기부(급), 기증
  miracle	기적
  continent	대퓩
  horror	공포
  essay	수필
  armament	군비
  fable	우화
  maxim	격언
  perspective	가망, 전망
  income	수입
  fortune	운, 행운, 재산
  aid	도움, 도와 주다
  fuel	연료, 연료를 공급하다
  sigh	한숨 (쉬다)
  furniture	가구
  shelter	피난(처)
  view	경치, 의견
  navy	해군
  inability	무능, 무력
  territory	영토
  imitation	모방
  alternative	양자택일, 양자택일의
  foliage	(무성한) 나뭇잎
  preface	머리말
  review	복습, 재검토, 평론
  mischief	장난, 손해
  departure	출발
  surface	표면 ,표면의
  funeral	장례식
  ignorance	무지
  popularity	인기, 유행
  pace	걸음
  merchandise	상품
  space	공간, 우주
  predecessor	전임자, 선배, 선조
  soil	흙, 땅
  hospitality	환대
  trait	특색
  traitor	배반자, 반역자
  puzzle	수수께끼
  riddle	수수께끼
  solace	위안, 위로(하다)
  vision	시력, 통찰력
  treachery	배신, 반역
  pasture	목장, 목초지
  renown	명성
  vessel	(큰) 배, 그릇
  specimen	표본, 실례
  trace	자국, 자국을 밟아가다
  slumber	잠, 잠자다
  harvest	수확(기)
  tact	재치, 요령
  element	요소, 원소
  pang	심한 고통
  flaw	결점, 흠
  riot	폭동(을 일으키다)
  folk	사람들, 가족
  temperance	절제, 금주
  garbage	쓰레기, 찌꺼기
  mob	군중, 폭도
  adult	성인, 성인의
  temperament	기질
  expansion	확장
  output	생산량
  glance	힐끗 봄, 힐끗 보다
  vein	혈관, 광맥
  conclusion	결말, 결론
  revolt	반역, 혐오
  pessimist	비관론자
  reverie	환상
  mixture	혼합(물)
  outcome	결과, 성과
  expert	익숙한 사람, 전문가
  project	계획, 계획하다, 내던지다
  consequence	결과, 중요성
  rapture	큰 기쁨, 환희
  pioneer	개척자, 선구자
  revenge	복수, 원한
  amount	총계, 총계 …이 되다
  repose	휴식, 쉬다
  author	저자, 창시자
  audience	청중
  throne	왕위, 왕좌
  outlook	전망, …관
  expression	표현, 표정
  benefactor	은인, 후원자
  suburb	교외, 변두리
  apology	사과, 변명
  proposal	제의, 신청
  phase	국면, 양상
  male	남자, 수컷
  relish	맛, 흥미
  motive	동기, 동기가 되다
  summary	요약, 요약한
  plot	음모, 계획
  relic	유물
  bronze	청동
  status	지위, 현상
  mystery	신비, 불가사의
  treason	반역(죄)
  trifle	사소한 일, 조금
  trend	경향, 추세
  spectacle	광경
  statue	조각상
  cliff	절벽, 낭떠러지
  trap	덫, 함정
  sermon	설교
  imagination	상상(력)
  omen	전조, 조짐
  diameter	지름, 직경
  effort	노력
  adversity	역경
  snare	덫, 유혹
  satisfaction	만족
  estate	재산, 지위
  orator	웅변가
  plea	구실, 탄원
  meadow	목초지
  shortage	부족
  activity	활동
  stage	무대, 시기
  decree	명령, 포고, 명령하다
  myth	신화
  hazard	위험, 우연
  pattern	모범, 모형
  fluid	액체, 유동성의
  union	결합, 일치
  disciple	제자
  playwright	극작가
  truce	휴전
  cave	동굴
  feat	공적
  forest	숲
  friction	마찰, 알력
  digestion	소화, 숙고
  verse	운문, 시
  counsel	의논, 충고
  token	표시, 증거
  value	가치, 존중하다
  flavor	맛, 향기
  transition	변천, 과도기
  pause	멈춤, 중지
  heathen	이교도, 이방인
  worth	가치, …의 가치가 있는
  heretic	이단자, 이교도
  fund	자금
  bait	미끼, 유혹
  range	범위, 산맥
  orientation	방향 결정, 안내
  elegance	우아함
  masterpiece	걸작
  stature	키, 신장
  retort	말대꾸(하다)
  metropolis	수도, 중심지
  layer	층
  volume	책, 권
  testimony	증거, 증명
  haven	항구, 피난처
  research	연구(하다), 조사(하다)
  spot	장소, 지점
  seed	씨, 종자
  drudgery	고된 일, 고역
  reverence	존경, 존경하다
  summit	정상
  crust	(빵)껍질
  boss	우두머리, 사장
  agony	고민, 고뇌
  wisdom	지혜
  propriety	예의 바름, 적당
  physics	물리학
  timber	재목
  planet	행성, 유성
  design	디자인, 계획
  lung	폐, 허파
  leisure	틈, 여가, 한가한
  organization	조직, 단체
  republic	공화국, 공화정체
  prosecution	수행
  torture	고난, 고뇌
  cottage	오두막집, 시골집
  castle	성
  conference	회의
  tomb	무덤, 묘
  fault	결점, 잘못
  magic	마술(의), 마력(의)
  aim	목적, 표적
  sword	검, 무력
  risk	위험, 위험을 무릅쓰다
  tool	도구, 연장
  weapon	무기
  vehicle	탈것, 차량
  peculiarity	트갯ㄱ, 버릇
  contest	투쟁,경기, 다투다, 겨루다
  favor	호의, 찬성
  mankind	인간, 인류
  draft	설계도, 초안, 설계하다, 기초하다
  bomb	폴탄
  nerve	신경
  chemistry	화학
  addition	부가
  measure	수단, 치수
  vogue	유행
  reserve	사양, 보존하다
  occasion	경우, 기회
  dictator	독재자
  curiosity	호기심
  disorder	무질서, 혼란
  cast	형, 주조, 배역
  cancer	암
  well-being	복지, 행복
  chamber	방
  devil	악마
  barbarian	야만인, 야만의
  stuff	재료, 물건
  scheme	계획
  legislation	입법, 법제
  symmetry	균형, 조화
  pomp	화려
  antiquity	고대(인)
  malice	악의, 원환
  multitude	다수
  bent	경향, 구부러진
  creed	신조, 주의
  procedure	수속, 진행
  standard	표준(의), 모범(적인)
  boredom	지루함
  device	고안, 장치
  greed	탐욕
  contagion	전염(병)
  satire	풍자
  hypothesis	가설
  proposition	명제, 제의
  perfume	향수, 향기
  miniature	축소 지도, 축소모형
  bond	속박
  providence	섭리, 신의 뜻
  compassion	동정
  domain	영토
  caricature	(풍자적) 만화
  anguish	고민, 고뇌
  facility	손쉬움, 설비, 기관
  hygiene	위생
  conspiracy	음모, 공모
  accordance	일치, 조화
  ecstasy	무아의 경지, 황홀
  censure	비난(하다)
  allowance	급여, 허가
  campaign	(선거)운동, 전쟁
  canal	운하
  apparatus	기구, 기계
  defiance	도전, 무시
  craft	기능, 교묘
  patent	전매 특허(의)
  countenance	표정, 안색
  pulse	맥박
  implement	기구, 도구
  insurance	보험, 보증
  catastrophe	파국, 재난
